[﻿༄༅། ཁྲེགས་གཅོད་བསྡུད་པ་བཞུགས་སྷོ།༄༄༄། །​ རྒྱ་གར་སྐད་དུ། ས་མ་བ་ཏཱན་མ_50_],﻿༄༅། ཁྲེགས་གཅོད་བསྡུད་པ་བཞུགས་སྷོ།༄༄༄། །​ རྒྱ་གར་སྐད་དུ། ས་མ་བ་ཏཱན་མ_50_,﻿ཁྲེགས་གཅོད་བསྡུས་པ་བཞུགས་སོ།༄༄༄། །​ རྒྱ་གར་སྐད་དུ། ས་མ་བ་ཏཱ་ན་མ_25_,﻿༄༄། །​ རྒྱ་གར་སྐད་དུ། སམཔཱཏནམ_25_
[། _100_],། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_
[།  _100_],།  _100_,།  _100_,།  _100_
[ཁྲེག་_100_],ཁྲེག་_100_,ཁྲེག་_100_,ཁྲེག་_100_
[གཅོད་_100_],གཅོད་_100_,གཅོད་_100_,གཅོད་_100_
[བདུད་_50_],བདུད་_50_,བདུས་_25_,བདུན་_25_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ_100_],བ_100_,བ_100_,བ_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[བཅོམ་_100_],བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[འདས་_100_],འདས་_100_,འདས་_100_,འདས་_100_
[མཐའ་_100_],མཐའ་_100_,མཐའ་_100_,མཐའ་_100_
[གཞི་_50_],གཞི་_50_,བཞི་_50_,བཞི་_50_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_
[གྲོལ་_100_],གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[མགོན་_100_],མགོན་_100_,མགོན་_100_,མགོན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_
[རྫོགས་_100_],རྫོགས་_100_,རྫོགས་_100_,རྫོགས་_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[བླ་_100_],བླ་_100_,བླ་_100_,བླ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[སྟོན་_100_],སྟོན་_100_,སྟོན་_100_,སྟོན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[རྡོ་_100_],རྡོ་_100_,རྡོ་_100_,རྡོ་_100_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
[འཆང་_100_],འཆང་_100_,འཆང་_100_,འཆང་_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[ཕྱོགས་_100_],ཕྱོགས་_100_,ཕྱོགས་_100_,ཕྱོགས་_100_
[བཅུ་_100_],བཅུ་_100_,བཅུ་_100_,བཅུ་_100_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
[རྟེན་_100_],རྟེན་_100_,རྟེན་_100_,རྟེན་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_
[འབྱམས་_100_],འབྱམས་_100_,འབྱམས་_100_,འབྱམས་_100_
[སུ_100_],སུ_100_,སུ_100_,སུ_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[ཞལ་_100_],ཞལ་_100_,ཞལ་_100_,ཞལ་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_
[པས_100_],པས_100_,པས_100_,པས_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[ལྗགས་_100_],ལྗགས་_100_,ལྗགས་_100_,ལྗགས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_
[རྕེ་_100_],རྕེ་_100_,རྕེ་_100_,རྕེ་_100_
[མོ་_100_],མོ་_100_,མོ་_100_,མོ་_100_
[ལས_100_],ལས_100_,ལས_100_,ལས_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_
[ཟེར་_100_],ཟེར་_100_,ཟེར་_100_,ཟེར་_100_
[བརྒྱ་_100_],བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_
[ཕྲག་_100_],ཕྲག་_100_,ཕྲག་_100_,ཕྲག་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[འཕྲོས_100_],འཕྲོས_100_,འཕྲོས_100_,འཕྲོས_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[ཟེར་_100_],ཟེར་_100_,ཟེར་_100_,ཟེར་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[འདྲ་_100_],འདྲ་_100_,འདྲ་_100_,འདྲ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[གཙོ་_100_],གཙོ་_100_,གཙོ་_100_,གཙོ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[སྟོང་_100_],སྟོང་_100_,སྟོང་_100_,སྟོང་_100_
[ཕྲག་_100_],ཕྲག་_100_,ཕྲག་_100_,ཕྲག་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_
[ལང་_100_],ལང་_100_,ལང་_100_,ལང་_100_
[བ_100_],བ_100_,བ_100_,བ_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[འཕྲོས་_100_],འཕྲོས་_100_,འཕྲོས་_100_,འཕྲོས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_
[གྱིས_100_],གྱིས_100_,གྱིས_100_,གྱིས_100_
[། །​ _100_],། །​ _100_,། །​ _100_,། །​ _100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[ཁར་_100_],ཁར་_100_,ཁར་_100_,ཁར་_100_
[འདུས_100_],འདུས_100_,འདུས_100_,འདུས_100_
